id,title,description,images,price,category
36,CASIO MTP1303SG7AVDF METAL MEN'S CLASSIC ANALOG WATCH,"• Case Material: Bezel Gold Tone.
• Gold Ion Plated Band.
• Mineral Glass.
• Water Resistant: 50 Meters.
• Stainless Steel Band.
• Triple-fold Clasp.
• Size of case : 47×40×8.1mm.
• Total weight : 101g.

PRODUCT DESCRIPTION
Product Features: Brand: Casio Watch Shape: Round Band Material: Stainless Steel Display Type: Analog Targeted Group: Men's Type: Casual Watch Model Number: MTP-1303SG-7AVDF Water resistant depth: 50 M Dial window material type: Mineral Clasp: Deployment Band Color: Gold/Silver Case material: Ion Plated Case diameter: 40 mm Case thickness: 8 mm Movement: Quartz Band width: 20 mm Dial Color: White Details: Regular timekeeping Analog: 3 hands (hour, minute, second) Accuracy: 20 seconds per month Total weight: 101 g
  PRODUCT SPECIFICATIONS
WATCH INFORMATION
BRAND, SELLER, OR COLLECTION NAME Casio
MODEL NUMBER MTP-1303SG-7AVDF (A498)
PART NUMBER MTP-1303SG-7AVDF (A498)
MODEL YEAR 2011
ITEM SHAPE Round
DIAL WINDOW MATERIAL TYPE Mineral
DISPLAY TYPE Analog
CLASP Fold over clasp with safety
CASE MATERIAL Other
CASE DIAMETER 40 millimeters
CASE THICKNESS 8 millimeters
BAND MATERIAL Stainless Steel
BAND WIDTH 20 millimeters
BAND COLOR Multicolour
DIAL COLOR White
CALENDAR Does not have a date function
ITEM WEIGHT 254 Grams
MOVEMENT Quartz
WATER PRESSURE RESISTANCE 5 bar
WATER RESISTANT DEPTH 50 Meters
WARRANTY TYPE Distributor
WARRANTY DESCRIPTION 1 year
  What's included in the set:
Casio Men's watch, User's Manual, Gift Box, Warranty","https://jubilee.ae/cdn/shop/products/casio-mtp1303sg7avdf-metal-mens-classic-analog-watch-882_200x.jpg, https://jubilee.ae/cdn/shop/products/casio-mtp1303sg7avdf-metal-mens-classic-analog-watch-882_400x.jpg",147.40,men
37,BIGOTTI MENS DAY AND DATE LEATHER STRAP WATCH - BG.1.10168-1,"PRODUCT DETAILS

Case Color: Steel
Dial Color: Silver
Strap Color: Black
Function: Day and Date
Gender: Men
Case Material: Brass
Case Size: 43*50.5MM
Strap Material: Leather
Band Width: 22*20MM
Dial Type: SUNRAY BRUSH DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/BG.1.10168-1_200x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_400x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_600x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_700x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_800x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_900x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_1000x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10168-1_1200x.jpg",120.00,men
38,BIGOTTI MENS MULTIFUNCTION STAINLESS STEEL STRAP WATCH - BG.1.10001-1,"PRODUCT DETAILS

Case Color: Steel
Dial Color: Gun Metal
Strap Color: Steel
Function: Multifunction
Gender: Men
Case Material: Brass
Case Size: 42.5*48.5MM
Strap Material: Stainless Steel
Band Width: 22*20MM
Dial Type: CURVED DIAL WITH EYES & DATE","https://jubilee.ae/cdn/shop/products/BG.1.10001-1_200x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10001-1_400x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10001-1_600x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10001-1_700x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10001-1_800x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10001-1_900x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10001-1_1000x.jpg",161.00,men
39,DANIEL KLEIN PREMIUM MENS LEATHER STRAP WATCH - DK.1.13266-2,"PRODUCT DETAILS
Case Color: Steel
Dial Color: Gun Metal
Strap Color: Black
Function: Day and Date
Gender: Men
Case Material: Metal
Case Size: 43*52MM
Strap Material: Leather
Band Width: 22*20MM
Dial Type: SUNRAY BRUSH DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/DK.1.13266-2_200x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.13266-2_400x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.13266-2_600x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.13266-2_700x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.13266-2_800x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.13266-2_900x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.13266-2_1000x.jpg",140.00,men
40,SERGIO TACCHINI ARCHIVIO MENS STAINLESS STEEL STRAP WATCH - ST.1.10319-1,"PRODUCT DETAILS
Case Color: Steel
Dial Color: Gun Metal
Strap Color: Steel
Function: Multifunction
Gender: Men
Case Material: Stainless Steel
Case Size: 44*53MM
Strap Material: Stainless Steel
Band Width: 22*20MM
Dial Type: EMBOSS DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/ST.1.10319-1_200x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10319-1_400x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10319-1_600x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10319-1_700x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10319-1_800x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10319-1_900x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10319-1_1000x.jpg",300.00,men
41,DANIEL KLEIN MEN BLACK/ROSE GOLD BRACELET - DKJ.6.2103-4,,"https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_200x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_400x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_600x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_700x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_800x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_900x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_1000x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_1200x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_1400x.jpg, https://jubilee.ae/cdn/shop/products/DKJ.6.2103-4_1600x.jpg",100.00,men
42,BIGOTTI MENS MULTIFUNCTION STAINLESS STEEL STRAP WATCH - BG.1.10173-1,"PRODUCT DETAILS

Case Color: Steel/Black
Dial Color: Silver
Strap Color: Steel
Function: Multifunction
Gender: Men
Case Material: Brass
Case Size: 45*54MM
Strap Material: Stainless Steel
Band Width: 22*20MM
Dial Type: MATT DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/BG.1.10173-1_200x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_400x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_600x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_700x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_800x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_900x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_1000x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10173-1_1200x.jpg",176.00,men
43,SANTA BARBARA NOBLE MENS STAINLESS STEEL STRAP WATCH - SB.1.10391-2,"PRODUCT DETAILS
Case Color: Steel
Dial Color: Gun Metal
Strap Color: Steel
Function: Time and Date
Gender: Men
Case Material: Stainless Steel
Case Size: 43*52MM
Strap Material: Stainless Steel
Band Width: 22*20MM
Dial Type: EMBOSS DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/SB.1.10391-2_200x.jpg, https://jubilee.ae/cdn/shop/products/SB.1.10391-2_400x.jpg, https://jubilee.ae/cdn/shop/products/SB.1.10391-2_600x.jpg, https://jubilee.ae/cdn/shop/products/SB.1.10391-2_700x.jpg, https://jubilee.ae/cdn/shop/products/SB.1.10391-2_800x.jpg, https://jubilee.ae/cdn/shop/products/SB.1.10391-2_900x.jpg, https://jubilee.ae/cdn/shop/products/SB.1.10391-2_1000x.jpg",330.00,men
44,DANIEL KLEIN MENS SUNGLASSES - DK3165C5,,"https://jubilee.ae/cdn/shop/products/DK3165C5_200x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_400x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_600x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_700x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_800x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_900x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_1000x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_1200x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_1400x.jpg, https://jubilee.ae/cdn/shop/products/DK3165C5_1600x.jpg",78.00,men
45,G-SHOCK MENS BLUE PAISLEY SERIES WATCH - GA-700BP-1ADR,"Absolutely tough, boldly blue, paisley patterned — the G-SHOCK with a touch of rugged sophistication.
In a striking blue and black color scheme, the Paisley Blue series features dials printed with the iconic pattern popularized by the practical stylishness of the bandana.
Basic Information
CASE SIZE (L× W× H)
57.5 × 53.4 × 18.5 mm
WEIGHT
69 g
CASE AND BEZEL MATERIAL
Case / bezel material: Resin
BAND
Resin Band
CONSTRUCTION
Shock Resistant
WATER RESISTANCE
200-meter water resistance
POWER SUPPLY AND BATTERY LIFE
Approx. battery life: 5 years on CR2016
Exterior
GLASS
Mineral Glass
Watch Features
WORLD TIME
World time 31 time zones (48 cities + coordinated universal time), daylight saving on/off, Home city/World time city swapping
STOPWATCH
1/100-second stopwatch Measuring capacity: 23:59'59.99'' Measuring modes: Elapsed time, split time, 1st-2nd place times Others: target time alarm, direct timing start from the timekeeping mode
TIMER
Countdown timer Measuring unit: 1/10 second Countdown range: 60 minutes Countdown start time setting range: 1 to 60 minutes (1-minute increments)
ALARM/HOURLY TIME SIGNAL
5 daily alarms (with 1 snooze alarm)
Hourly time signal
LIGHT
LED light (Super Illuminator) Selectable illumination duration (1.5 seconds or 3 seconds), afterglow
LIGHT COLOR
LED:White
CALENDAR
Full auto-calendar (to year 2099)
MUTE FEATURE
Button operation tone on/off
ACCURACY
Accuracy: ±15 seconds per month
OTHER FEATURES
12/24-hour format
Hand shift feature (Hands move out of the way to provide an unobstructed view of digital display contents.)
Regular timekeeping: Analog: 2 hands (hour, minute (hand moves every 20 seconds)) Digital: Hour, minute, second, pm, month, date, day","https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_200x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_400x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_600x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_700x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_800x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_900x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_1000x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_1200x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_1400x.png, https://jubilee.ae/cdn/shop/products/GA-700BP-1A_01_1600x.png",485.00,men
